Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Designing Interfaces,443495,39.99,Jenifer Tidwell,O'Reilly Media,2005,Patterns for Effective Interaction Design,,"Designing a good interface isn't easy. Users demand software that is well-behaved, good-looking, and easy to use. Your clients or managers demand originality and a short time to market. Your UI technology -- web applications, desktop software, even mobile devices -- may give you the tools you need, but little guidance on how to use them well. UI...",True,2008-03-14T00:00:00,Nov 2005,1,97,150,UI_UX
Understanding Industrial Design,2510881,34.99,Simon King,O'Reilly Media,2016,Principles for UX and Interaction Design,,"With the coming flood of connected products, many UX and interaction designers are looking into hardware design, a discipline largely unfamiliar to them. If you’re among those who want to blend digital and physical design concepts successfully, this practical book helps you explore seven long-standing principles of industrial design. Two present...",True,2016-01-20T00:00:00,Jan 2016,2,97,150,UI_UX
Vue.js 3 Cookbook,210125763,49.99,Heitor Ramon Ribeiro,Packt Publishing,2020,Discover actionable solutions for building modern web apps with the latest Vue features and TypeScript,,,True,2020-09-18T00:00:00,Sep 2020,1,97,150,UI_UX
Microinteractions: Full Color Edition,1465966,44.99,Dan Saffer,O'Reilly Media,2013,Designing with Details,,"It’s the little things that turn a good digital product into a great one. With this full color practical book, you’ll learn how to design effective microinteractions: the small details that exist inside and around features. How can users change a setting? How do they turn on mute, or know they have a new email message? Through vivid, real-world...",True,2013-10-10T00:00:00,Oct 2013,1,97,150,UI_UX
Learning Responsive Web Design,1710352,33.99,Clarissa Peterson,O'Reilly Media,2014,A Beginner's Guide,,"Deliver an optimal user experience to all devices—including tablets, smartphones, feature phones, laptops, and large screens—by learning the basics of responsive web design. In this hands-on guide, UX designer Clarissa Peterson explains how responsive web design works, and takes you through a responsive workflow from project kickoff to site...",True,2014-06-10T00:00:00,Jun 2014,1,97,150,UI_UX
Accessibility Handbook,1013438,15.99,Katie Cunningham,O'Reilly Media,2012,Making 508 Compliant Websites,,"Get practical guidelines for making your website accessible to people with disabilities. With this handbook, you’ll learn how to design or develop a site that conforms to Section 508 of the US Rehabilitation Act—and in the process you’ll discover how to provide a better user experience for everyone. The Accessibility Handbook introduces you to...",True,2012-08-27T00:00:00,Aug 2012,1,97,150,UI_UX
Designing Connected Products,2054962,49.99,Claire Rowland,O'Reilly Media,2015,UX for the Consumer Internet of Things,,"Networked thermostats, fitness monitors, and door locks show that the Internet of Things can (and will ) enable new ways for people to interact with the world around them. But designing connected products for consumers brings new challenges beyond conventional software UI and interaction design. This book provides experienced UX designers and...",True,2015-05-19T00:00:00,May 2015,5,97,150,UI_UX
UX for Business,211164308,53.99,Joel Marsh,O'Reilly Media,2023,,,"Many UX designers are surprised to learn that much of the job isn't about drawing things. It's about knowing what to draw and how to convince people to build it. Whether you're a one-person design team making products from scratch or a C-level product leader managing many products and strategies, UX for Business is your missing guide to...",True,2023-12-04T00:00:00,Dec 2023,1,97,150,UI_UX
Vue.js 3 By Example,210303669,44.99,John Au-Yeung,Packt Publishing,2021,"Blueprints to learn Vue web development, full-stack development, and cross-platform development quickly",,,True,2021-04-26T00:00:00,Apr 2021,1,97,150,UI_UX
Cross-Platform Development with Qt 6 and Modern C++.,210306523,55.99,Nibedit Dey,Packt Publishing,2021,Design and build applications with modern graphical user interfaces without worrying about platform dependency,,,True,2021-06-25T00:00:00,Jun 2021,1,97,150,UI_UX
Android UI Development with Jetpack Compose,211113603,40.99,Thomas Künneth,Packt Publishing,2023,Bring declarative and native UI to life quickly and easily on Android using Jetpack Compose and Kotlin,,,True,2023-11-03T00:00:00,Nov 2023,1,97,150,UI_UX
Visualize This,693541,47.99,Nathan Yau,Wiley,2011,"The FlowingData Guide to Design, Visualization, and Statistics",,Practical data design tips from a data visualization expert of the modern age Data doesn't decrease; it is ever-increasing and can be overwhelming to organize in a way that makes sense to its intended audience. Wouldn't...,True,2011-06-13T00:00:00,Jun 2011,1,97,150,UI_UX
Designing Voice User Interfaces,95659341,44.99,Cathy Pearl,O'Reilly Media,2016,Principles of Conversational Experiences,,"Voice user interfaces (VUIs) are becoming all the rage today. But how do you build one that people can actually converse with? Whether you’re designing a mobile app, a toy, or a device such as a home assistant, this practical book guides you through basic VUI design principles, helps you choose the right speech recognition engine, and shows you...",True,2016-12-21T00:00:00,Dec 2016,1,97,150,UI_UX
Hands-On Motion Graphics with Adobe After Effects CC,209672661,49.99,David Dodds,Packt Publishing,2019,Develop your skills as a visual effects and motion graphics artist,,,True,2019-04-27T00:00:00,Apr 2019,1,97,150,UI_UX
Bootstrap,1187284,17.99,Jake Spurlock,O'Reilly Media,2013,Responsive Web Development,,"Discover how easy it is to design killer interfaces and responsive websites with the Bootstrap framework. This practical book gets you started building pages with Bootstrap’s HTML/CSS-based tools and design templates right away. You’ll also learn how to extend your app with interactive features, using its suite of jQuery plugins—often without...",True,2013-05-08T00:00:00,May 2013,1,97,150,UI_UX
Visual Usability,1158375,61.18616475,Tania Schlatter,Elsevier Science,2013,Principles and Practices for Designing Digital Applications,,"Imagine how much easier creating web and mobile applications would be if you had a practical and concise, hands-on guide to visual design. Visual Usability gets into the nitty-gritty of applying visual design principles to complex application design.You’ll learn how to avoid common mistakes, make informed decisions about application...",True,2013-03-21T00:00:00,Mar 2013,2,97,150,UI_UX
C++ Game Development By Example,209748139,39.99,Siddharth Shekar,Packt Publishing,2019,"Learn to build games and graphics with SFML, OpenGL, and Vulkan using C++ programming",,,True,2019-05-03T00:00:00,May 2019,1,97,150,UI_UX
Designing Mobile Interfaces,801438,49.99,Steven Hoober,O'Reilly Media,2011,Patterns for Interaction Design,,"With hundreds of thousands of mobile applications available today, your app has to capture users immediately. This book provides practical techniques to help you catch—and keep—their attention. You’ll learn core principles for designing effective user interfaces, along with a set of common patterns for interaction design on all types of mobile...",True,2011-11-01T00:00:00,Nov 2011,2,97,150,UI_UX
Mobile Design Pattern Gallery,1680054,62.99,Theresa Neil,O'Reilly Media,2014,UI Patterns for Smartphone Apps, (2nd ed.),"When you’re under pressure to produce a well-designed, easy-to-navigate mobile app, there’s no time to reinvent the wheel—and no need to. This handy reference provides more than 90 mobile app design patterns, illustrated by 1,000 screenshots from current Android, iOS, and Windows Phone apps. Much has changed since this book’s first edition....",True,2014-04-23T00:00:00,Apr 2014,1,97,150,UI_UX
Designing Mobile Payment Experiences,1766634,28.99,Skip Allums,O'Reilly Media,2014,Principles and Best Practices for Mobile Commerce,,"Now that consumer purchases with mobile phones are on the rise, how do you design a payment app that’s safe, easy to use, and compelling? With this practical book, interaction and product designer Skip Allums provides UX best practices and recommendations to help you create familiar, friendly, and trustworthy experiences. Consumers want mobile...",True,2014-08-13T00:00:00,Aug 2014,1,97,150,UI_UX
Information Visualization,209920967,85.74230295,Colin Ware,Elsevier Science,2019,Perception for Design, (4th ed.),"Information Visualization: Perception for Design, Fourth Edition explores the art and science of why we see objects the way we do. Based on the science of perception and vision, the author presents the key principles at work for a wide range of applications--resulting in visualization of improved clarity, utility and persuasiveness....",True,2019-12-19T00:00:00,Dec 2019,1,97,150,UI_UX
Learn React Hooks,209821215,44.99,Daniel Bugl,Packt Publishing,2019,Build and refactor modern React.js applications using Hooks,,,True,2019-10-18T00:00:00,Oct 2019,1,97,150,UI_UX
Application Development with Qt Creator,209940868,39.99,Lee Zhi Eng,Packt Publishing,2020,Build cross-platform applications and GUIs using Qt 5 and C++,,,True,2020-01-31T00:00:00,Jan 2020,2,97,150,UI_UX
Building Vue.js Applications with GraphQL,210193112,39.99,Heitor Ramon Ribeiro,Packt Publishing,2021,"Develop a complete full-stack chat app from scratch using Vue.js, Quasar Framework, and AWS Amplify",,,True,2021-01-29T00:00:00,Jan 2021,1,97,150,UI_UX
From Chaos to Concept,210077469,42.0,Kevin Collamore Braun,Wiley,2020,A Team Oriented Approach to Designing World Class Products and Experiences,,"This book is written for product design, software development, graphic design, and UX professionals with a focus on creating measurably better user experiences. If you want to design...",True,2020-06-30T00:00:00,Jun 2020,1,97,150,UI_UX
Interaction Design,210778214,82.95,Yvonne Rogers,Wiley,2023,Beyond Human-Computer Interaction, (6th ed.),"A delightful, engaging, and comprehensive overview of interaction design Effective and engaging design is a critical component of any digital product, from virtual reality software to chatbots, smartphone apps,...",True,2023-02-24T00:00:00,Feb 2023,3,97,150,UI_UX
