,title,video_id,channel_name,views,duration,url
89,5 Effective Tips to Learn Python Fast (Pro Hacks)🔥,xTSjk6Q6vrc,CodeWithHarry,276K views,8:51,https://www.youtube.com/watch?v=xTSjk6Q6vrc
90,Mastering Python - Everything You Need To Know To Become a Python Master,p15xzjzR9j0,Tech With Tim,1.3M views,16:02,https://www.youtube.com/watch?v=p15xzjzR9j0
91,Create a Programming Language and Learn Advanced Python – Full Course,1WpKsY9LBlY,freeCodeCamp.org,103K views,4:37:05,https://www.youtube.com/watch?v=1WpKsY9LBlY
92,Advanced Dictionaries: defaultdict in Python,Sah0p4ILGRE,NeuralNine,19K views,13:12,https://www.youtube.com/watch?v=Sah0p4ILGRE
93,🔥 Advanced Python Course For 2023 With Python Projects | Python Programming | Simplilearn,jKihGsmhYsc,Simplilearn,14K views,9:32:59,https://www.youtube.com/watch?v=jKihGsmhYsc
94,Advanced Exception Handling in Python,ZUqGMDppEDs,NeuralNine,40K views,12:06,https://www.youtube.com/watch?v=ZUqGMDppEDs
95,Learn Python with ChatGPT,ChoeKcjlYuI,Sahil & Sarra,411K views,0:57,https://www.youtube.com/watch?v=ChoeKcjlYuI
96,Python Itertools For Advanced Iteration,m4vnmv_S6ug,NeuralNine,9.1K views,14:00,https://www.youtube.com/watch?v=m4vnmv_S6ug
97,Stop Studying Programming,QMbx0dTWJIQ,bigboxSWE,688K views,1:56,https://www.youtube.com/watch?v=QMbx0dTWJIQ
98,Introduction to Programming and Computer Science - Full Course,zOjov-2OZ0E,freeCodeCamp.org,7.8M views,1:59:09,https://www.youtube.com/watch?v=zOjov-2OZ0E
99,ＣＯＤＩＮＧ ＶＩＢＥＳ 💻 Coding Beats 2023 ~ Lofi Playlist for Programming / Relax / Chill,v9XyIGXcRck,Lofi boost your mood,418K views,24:11:15,https://www.youtube.com/watch?v=v9XyIGXcRck
100,Hare Programming Language,2E3E_Rh3mvw,Tsoding Daily,27K views,1:39:25,https://www.youtube.com/watch?v=2E3E_Rh3mvw
101,Programming / Coding / Hacking music vol.16 (CONNECTION LOST),l9nh1l8ZIJQ,JimTV,5M views,1:00:03,https://www.youtube.com/watch?v=l9nh1l8ZIJQ
102,Deep Programming - Modern VIBE 🛸 #28,eCs8LT290a4,FilFar,1.3M views,1:06:03,https://www.youtube.com/watch?v=eCs8LT290a4
103,Learn To Code Like a GENIUS and Not Waste Time,q-_ezD9Swz4,The Coding Sloth,585K views,9:41,https://www.youtube.com/watch?v=q-_ezD9Swz4
104,Coding for 1 Month Versus 1 Year #shorts #coding,k7LSFYyBZUs,Devslopes,2.5M views,0:24,https://www.youtube.com/watch?v=k7LSFYyBZUs
105,Programming vs Coding - What's the difference?,CIRGjwYgdT4,Aaron Jack,1.8M views,5:59,https://www.youtube.com/watch?v=CIRGjwYgdT4
106,"How I Learned to Code in 4 Months & Got a Job! (No CS Degree, No Bootcamp)",WR1ydijTx5E,Tim Kim,3.9M views,9:51,https://www.youtube.com/watch?v=WR1ydijTx5E
107,Coding is Not Enough Anymore,1jrTW93F7Mg,Aaron Jack,339K views,9:46,https://www.youtube.com/watch?v=1jrTW93F7Mg
108,"The purest coding style, where bugs are near impossible",HlgG395PQWw,Coderized,669K views,10:25,https://www.youtube.com/watch?v=HlgG395PQWw
109,Coding Is Changing...Here Is What You NEED To Know,yTzqWczUrM0,Tech With Tim,201K views,8:12,https://www.youtube.com/watch?v=yTzqWczUrM0
110,TECH LAYOFFS SURGE. The End of Coding.,l222fIkesAY,TechLead,266K views,11:40,https://www.youtube.com/watch?v=l222fIkesAY
111,One Effective Trick to Learn Coding Fast (Works in 2024),pX0jXyuj7QE,CodeWithHarry,75K views,4:53,https://www.youtube.com/watch?v=pX0jXyuj7QE
112,"The end of the ""Self-Taught Programmer""",ro4oGwMb-T4,Kenny Gunderman,134K views,10:43,https://www.youtube.com/watch?v=ro4oGwMb-T4
113,🔥 Top Programming Languages for 2024 Jobs! 💻🚀,2KokkpAQv74,CodeWithHarry,128K views,8:10,https://www.youtube.com/watch?v=2KokkpAQv74
114,"AI coding assistants just leveled up, again…",7h732qLxtAk,Fireship,1.1M views,4:51,https://www.youtube.com/watch?v=7h732qLxtAk
115,Coding Is Changing...Here Is What You NEED To Know,YsCHobUSaLw,Nick White,43K views,9:26,https://www.youtube.com/watch?v=YsCHobUSaLw
116,Programming & 3D Modelling N64 games!,h8Z7X3qbVQI,KazeClips,679 views,2:14:58,https://www.youtube.com/watch?v=h8Z7X3qbVQI
117,Harvard CS50’s Introduction to Programming with Python – Full University Course,nLRL_NcnK-4,freeCodeCamp.org,3.5M views,15:57:48,https://www.youtube.com/watch?v=nLRL_NcnK-4
118,Engineer Vs Programmer 😃,tO0WuF_SC9A,Ark,115M views,0:30,https://www.youtube.com/watch?v=tO0WuF_SC9A
119,"Music for Work — Programming, Hacking, Coding Radio",4kLviL8XwAI,Chill Music Lab,,,https://www.youtube.com/watch?v=4kLviL8XwAI
120,Programming an entire game from scratch,O-TAjnvWjAE,Randy,359K views,6:00,https://www.youtube.com/watch?v=O-TAjnvWjAE
121,How To Learn Programming for BEGINNERS! (2022/2023),bJzb-RuUcMU,CroatCode,5.8M views,4:46,https://www.youtube.com/watch?v=bJzb-RuUcMU
122,I Tried The OLDEST Programming Language,RPge3m8uZTg,Txreq,117K views,8:21,https://www.youtube.com/watch?v=RPge3m8uZTg
123,10 Math Concepts for Programmers,bOCHTHkBoAs,Fireship,1.6M views,9:32,https://www.youtube.com/watch?v=bOCHTHkBoAs
124,Programming ▫️ Designing ▫️ Coding ▫️ Music 📈,TXm9C7UCWT4,FilFar,807K views,2:51:59,https://www.youtube.com/watch?v=TXm9C7UCWT4
125,10 Programmer Stereotypes,_k-F-MMvQV4,Fireship,2.8M views,5:08,https://www.youtube.com/watch?v=_k-F-MMvQV4
126,Samara - Code (Audio),-2mMBaoSbYM,Samara,14M views,4:47,https://www.youtube.com/watch?v=-2mMBaoSbYM
127,Pvrx - Gang Code (Official Video),sxu_atQgYYo,PVRX,2.1M views,3:11,https://www.youtube.com/watch?v=sxu_atQgYYo
128,"BRO CODE VS SIS CODE | Ft. Pooja A Gor, Pracheen, Aditya and Tanvi | SIT | Comedy Web Series",YDF2SMrseO4,Shitty Ideas Trending,148K views,13:37,https://www.youtube.com/watch?v=YDF2SMrseO4
129,Brysco - Code (Official Music Video),Ym-GX811zJk,BryscoMusic,7.7M views,2:38,https://www.youtube.com/watch?v=Ym-GX811zJk
130,*NEW* REVAMP UPDATE + 5 CARS & MONEY CODE IN JUPITER FLORIDA,Na6K8rRgajs,JoJewyd,8.1K views,8:48,https://www.youtube.com/watch?v=Na6K8rRgajs
